Adresse;Bezirk;WBezArt;Wahlbezirk;AghWkr;StimmArt;OstWest;WberIns;Waehler;Waehlerp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p
01B1A;01;B;1A;01;2;O;0;1049;0,0;1047;99,8;2;0,2;282;26,9;242;23,1;238;22,7;118;11,3;44;4,2;10;1,0;13;1,2;0;0,0;0;0,0;2;0,2;1;0,1;0;0,0;5;0,5;0;0,0;0;0,0;0;0,0;2;0,2;6;0,6;0;0,0;4;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;80;7,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B1B;01;B;1B;01;2;W;0;793;0,0;779;98,2;14;1,8;256;32,9;220;28,2;141;18,1;50;6,4;8;1,0;11;1,4;18;2,3;0;0,0;1;0,1;1;0,1;0;0,0;0;0,0;1;0,1;0;0,0;4;0,5;0;0,0;17;2,2;4;0,5;0;0,0;1;0,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;46;5,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B1C;01;B;1C;01;2;O;0;1061;0,0;1053;99,2;8;0,8;267;25,4;166;15,8;395;37,5;75;7,1;31;2,9;2;0,2;4;0,4;0;0,0;1;0,1;2;0,2;0;0,0;0;0,0;9;0,9;0;0,0;1;0,1;0;0,0;4;0,4;5;0,5;0;0,0;5;0,5;1;0,1;0;0,0;0;0,0;0;0,0;0;0,0;85;8,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B1D;01;B;1D;01;2;O;0;985;0,0;980;99,5;5;0,5;244;24,9;154;15,7;368;37,6;83;8,5;38;3,9;1;0,1;7;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;9;0,9;0;0,0;1;0,1;0;0,0;3;0,3;12;1,2;2;0,2;1;0,1;1;0,1;0;0,0;0;0,0;0;0,0;0;0,0;56;5,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B1E;01;B;1E;01;2;O;0;1047;0,0;1043;99,6;4;0,4;265;25,4;215;20,6;337;32,3;91;8,7;35;3,4;7;0,7;6;0,6;0;0,0;0;0,0;2;0,2;1;0,1;0;0,0;6;0,6;0;0,0;0;0,0;0;0,0;5;0,5;6;0,6;1;0,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;66;6,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B1F;01;B;1F;01;2;O;0;732;0,0;729;99,6;3;0,4;155;21,3;139;19,1;240;32,9;87;11,9;22;3,0;2;0,3;11;1,5;0;0,0;4;0,5;3;0,4;1;0,1;0;0,0;9;1,2;0;0,0;1;0,1;0;0,0;5;0,7;6;0,8;0;0,0;5;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;39;5,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B2A;01;B;2A;02;2;O;0;1217;0,0;1211;99,5;6;0,5;327;27,0;198;16,4;334;27,6;213;17,6;21;1,7;8;0,7;10;0,8;0;0,0;2;0,2;0;0,0;1;0,1;0;0,0;13;1,1;0;0,0;0;0,0;0;0,0;4;0,3;5;0,4;0;0,0;6;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;69;5,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B2B;01;B;2B;02;2;O;0;1441;0,0;1424;98,8;17;1,2;397;27,9;327;23,0;178;12,5;369;25,9;38;2,7;12;0,8;5;0,4;0;0,0;3;0,2;3;0,2;0;0,0;0;0,0;6;0,4;0;0,0;2;0,1;0;0,0;11;0,8;16;1,1;0;0,0;3;0,2;1;0,1;0;0,0;0;0,0;0;0,0;0;0,0;53;3,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B2C;01;B;2C;02;2;O;0;1415;0,0;1401;99,0;14;1,0;371;26,5;175;12,5;173;12,3;535;38,2;29;2,1;16;1,1;9;0,6;0;0,0;1;0,1;0;0,0;0;0,0;0;0,0;8;0,6;0;0,0;2;0,1;0;0,0;13;0,9;6;0,4;1;0,1;14;1,0;1;0,1;0;0,0;0;0,0;0;0,0;0;0,0;47;3,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B2D;01;B;2D;02;2;O;0;1098;0,0;1082;98,5;16;1,5;334;30,9;158;14,6;159;14,7;321;29,7;12;1,1;6;0,6;14;1,3;0;0,0;5;0,5;2;0,2;1;0,1;0;0,0;4;0,4;0;0,0;1;0,1;0;0,0;11;1,0;4;0,4;2;0,2;8;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;40;3,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
01B2E;01;B;2E;02;2;O;0;1320;0,0;1314;99,5;6;0,5;396;30,1;159;12,1;91;6,9;534;40,6;12;0,9;14;1,1;10;0,8;0;0,0;2;0,2;0;0,0;1;0,1;0;0,0;3;0,2;0;0,0;6;0,5;0;0,0;16;1,2;21;1,6;1;0,1;8;0,6;1;0,1;0;0,0;0;0,0;0;0,0;0;0,0;39;3,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
