"Monat";"Besucher";"Bounce Rate";"Quereinsteiger";"Page Impressions";"Page Impressions pro Besucher";"Ansichtszeit pro Besucher";"Ansichtszeit pro Seite";
"06 - 2015";"75";"66.67%";"67";"179";"2.39";"00:01:16";"00:00:32";
"05 - 2015";"77449";"55.85%";"63418";"294266";"3.80";"00:02:50";"00:00:45";
"04 - 2015";"75850";"56.74%";"61535";"307276";"4.05";"00:03:00";"00:00:44";
"03 - 2015";"84510";"57.19%";"70080";"349701";"4.14";"00:03:03";"00:00:44";
"02 - 2015";"78981";"55.89%";"66362";"330602";"4.19";"00:03:00";"00:00:43";
"01 - 2015";"81902";"53.79%";"68093";"372076";"4.54";"00:03:14";"00:00:43";
"12 - 2014";"74439";"59.75%";"61612";"277650";"3.73";"00:02:36";"00:00:42";
"11 - 2014";"76246";"56.24%";"61900";"300007";"3.93";"00:02:56";"00:00:45";
"10 - 2014";"73480";"49.92%";"56613";"318997";"4.34";"00:03:07";"00:00:43";
"09 - 2014";"84855";"47.88%";"67520";"347906";"4.10";"00:03:05";"00:00:45";
"08 - 2014";"71687";"47.81%";"56992";"311510";"4.35";"00:03:16";"00:00:45";
"07 - 2014";"65562";"47.75%";"51465";"301515";"4.60";"00:03:36";"00:00:47";
"06 - 2014";"69543";"48.09%";"52304";"293546";"4.22";"00:03:14";"00:00:46";
"05 - 2014";"74437";"46.01%";"54360";"326361";"4.38";"00:03:29";"00:00:48";
"04 - 2014";"59330";"47.93%";"42248";"266960";"4.50";"00:03:26";"00:00:46";
"03 - 2014";"65186";"50.93%";"44853";"282540";"4.33";"00:03:13";"00:00:44";
"02 - 2014";"60991";"49.16%";"43607";"284704";"4.67";"00:03:27";"00:00:44";
"01 - 2014";"67581";"46.23%";"48831";"330678";"4.89";"00:03:39";"00:00:45";
"12 - 2013";"57417";"51.32%";"39132";"199566";"3.48";"00:02:37";"00:00:45";
"11 - 2013";"62369";"51.43%";"44158";"250383";"4.01";"00:03:05";"00:00:46";
"10 - 2013";"67284";"49.91%";"59711";"274335";"4.08";"00:03:05";"00:00:45";
"09 - 2013";"80168";"49.32%";"79567";"327219";"4.08";"00:03:04";"00:00:45";
"08 - 2013";"75370";"49.12%";"75298";"321001";"4.26";"00:03:07";"00:00:44";
"07 - 2013";"70739";"51.66%";"70644";"311236";"4.40";"00:03:11";"00:00:43";
"06 - 2013";"66528";"52.55%";"66440";"249778";"3.75";"00:02:51";"00:00:45";
"05 - 2013";"67385";"53.15%";"67247";"267607";"3.97";"00:02:56";"00:00:44";
"04 - 2013";"68618";"53.20%";"68505";"260430";"3.80";"00:02:57";"00:00:47";
"03 - 2013";"66577";"50.01%";"66275";"264889";"3.98";"00:02:50";"00:00:43";
"02 - 2013";"66616";"50.24%";"66309";"268427";"4.03";"00:02:50";"00:00:42";
"01 - 2013";"73030";"49.42%";"72879";"343311";"4.70";"00:03:06";"00:00:40";
"12 - 2012";"64054";"52.58%";"63950";"249715";"3.90";"00:02:38";"00:00:41";
"11 - 2012";"65463";"51.63%";"65349";"267284";"4.08";"00:02:50";"00:00:42";
"10 - 2012";"62992";"50.03%";"62867";"254947";"4.05";"00:02:45";"00:00:41";
"09 - 2012";"74353";"47.54%";"74204";"280843";"3.78";"00:02:46";"00:00:44";
"08 - 2012";"71609";"46.96%";"71429";"293882";"4.10";"00:02:56";"00:00:43";
"07 - 2012";"63617";"47.49%";"63485";"257455";"4.05";"00:02:48";"00:00:41";
"06 - 2012";"61556";"48.10%";"61434";"241013";"3.92";"00:02:43";"00:00:42";
"05 - 2012";"63404";"47.77%";"63152";"237828";"3.75";"00:02:40";"00:00:43";
"04 - 2012";"63570";"46.72%";"63165";"260234";"4.09";"00:03:00";"00:00:44";
"03 - 2012";"65127";"45.85%";"64896";"284589";"4.37";"00:03:02";"00:00:42";
"02 - 2012";"70635";"45.80%";"70531";"346971";"4.91";"00:03:18";"00:00:40";
"01 - 2012";"66587";"46.27%";"66489";"295059";"4.43";"00:03:00";"00:00:41";
