Stunde;Besucher;Bounce Rate;Quereinsteiger;Page Impressions;Page Impressions pro Besucher;Ansichtszeit pro Besucher;Ansichtszeit pro Seite;
00 - 01;1176;65.14%;979;3188;2.71;00:01:35;00:00:35;
01 - 02;522;70.88%;446;1566;3.00;00:01:58;00:00:39;
02 - 03;368;73.64%;292;1161;3.15;00:02:03;00:00:39;
03 - 04;277;69.68%;222;1188;4.29;00:02:58;00:00:41;
04 - 05;262;75.95%;218;963;3.68;00:02:02;00:00:33;
05 - 06;372;63.44%;316;1286;3.46;00:02:40;00:00:46;
06 - 07;991;57.21%;802;3040;3.07;00:02:22;00:00:46;
07 - 08;2190;52.83%;1785;7870;3.59;00:02:47;00:00:46;
08 - 09;3811;53.03%;3054;15049;3.95;00:03:20;00:00:51;
09 - 10;5178;52.67%;4204;20292;3.92;00:03:05;00:00:47;
10 - 11;5710;51.58%;4623;23434;4.10;00:03:22;00:00:49;
11 - 12;5888;52.65%;4744;24064;4.09;00:03:23;00:00:50;
12 - 13;5391;54.03%;4384;20902;3.88;00:02:55;00:00:45;
13 - 14;5087;54.94%;4127;20090;3.95;00:03:00;00:00:46;
14 - 15;5091;54.39%;4184;20640;4.05;00:03:01;00:00:45;
15 - 16;4741;56.28%;3889;18604;3.92;00:03:01;00:00:46;
16 - 17;4359;57.58%;3562;16918;3.88;00:02:48;00:00:43;
17 - 18;3989;55.78%;3228;15618;3.92;00:02:41;00:00:41;
18 - 19;4069;57.29%;3425;15352;3.77;00:02:37;00:00:42;
19 - 20;4145;58.50%;3429;15714;3.79;00:02:34;00:00:41;
20 - 21;4059;57.21%;3353;14860;3.66;00:02:39;00:00:44;
21 - 22;4044;57.15%;3354;14649;3.62;00:02:25;00:00:40;
22 - 23;3541;59.33%;2969;11480;3.24;00:02:19;00:00:43;
23 - 24;2188;61.11%;1829;6338;2.90;00:01:55;00:00:40;
