"Tag";"Besucher";"Bounce Rate";"Quereinsteiger";"Page Impressions";"Page Impressions pro Besucher";"Ansichtszeit pro Besucher";"Ansichtszeit pro Seite";
"31.05.2015";"2158";"55.28%";"1761";"8116";"3.76";"00:02:32";"00:00:40";
"30.05.2015";"1833";"58.81%";"1537";"6974";"3.80";"00:02:40";"00:00:42";
"29.05.2015";"2700";"58.74%";"2254";"9541";"3.53";"00:02:42";"00:00:46";
"28.05.2015";"3196";"53.22%";"2618";"12074";"3.78";"00:03:18";"00:00:52";
"27.05.2015";"3239";"58.41%";"2746";"11772";"3.63";"00:03:06";"00:00:51";
"26.05.2015";"2819";"53.67%";"2320";"11591";"4.11";"00:03:21";"00:00:49";
"25.05.2015";"2268";"55.03%";"1763";"8464";"3.73";"00:02:32";"00:00:41";
"24.05.2015";"1877";"61.43%";"1476";"6414";"3.42";"00:02:14";"00:00:39";
"23.05.2015";"1575";"58.35%";"1267";"5978";"3.80";"00:02:35";"00:00:41";
"22.05.2015";"2279";"55.55%";"1839";"8968";"3.94";"00:03:00";"00:00:46";
"21.05.2015";"2804";"54.42%";"2289";"10599";"3.78";"00:02:48";"00:00:44";
"20.05.2015";"2734";"54.28%";"2196";"11080";"4.05";"00:03:02";"00:00:45";
"19.05.2015";"2926";"54.72%";"2410";"11409";"3.90";"00:02:56";"00:00:45";
"18.05.2015";"3055";"52.21%";"2512";"12021";"3.93";"00:03:04";"00:00:47";
"17.05.2015";"2270";"55.29%";"1847";"8656";"3.81";"00:02:45";"00:00:43";
"16.05.2015";"1843";"55.83%";"1496";"6956";"3.77";"00:02:44";"00:00:43";
"15.05.2015";"2331";"55.98%";"1906";"8235";"3.53";"00:02:43";"00:00:46";
"14.05.2015";"2001";"57.72%";"1624";"6955";"3.48";"00:02:14";"00:00:39";
"13.05.2015";"2569";"54.38%";"2047";"10003";"3.89";"00:03:05";"00:00:48";
"12.05.2015";"2945";"52.36%";"2410";"12311";"4.18";"00:03:12";"00:00:46";
"11.05.2015";"3151";"53.03%";"2568";"13369";"4.24";"00:03:15";"00:00:46";
"10.05.2015";"2617";"60.18%";"2184";"8070";"3.08";"00:02:02";"00:00:39";
"09.05.2015";"2080";"63.51%";"1704";"6736";"3.24";"00:02:04";"00:00:38";
"08.05.2015";"2385";"57.48%";"1927";"8721";"3.66";"00:02:41";"00:00:44";
"07.05.2015";"2828";"54.99%";"2311";"11254";"3.98";"00:03:11";"00:00:48";
"06.05.2015";"3029";"55.27%";"2508";"11351";"3.75";"00:03:04";"00:00:49";
"05.05.2015";"3001";"52.68%";"2518";"11677";"3.89";"00:03:01";"00:00:46";
"04.05.2015";"3035";"52.55%";"2515";"12335";"4.06";"00:03:11";"00:00:47";
"03.05.2015";"2225";"58.16%";"1854";"8138";"3.66";"00:02:32";"00:00:42";
"02.05.2015";"1622";"61.10%";"1363";"5869";"3.62";"00:02:07";"00:00:35";
"01.05.2015";"2054";"58.08%";"1648";"8629";"4.20";"00:02:47";"00:00:40";
