Browser;Betriebssystem;Letzter Zugriff;Besucher;
Safari 8;iOS;31.05.2015;11804;
Android 0;Android;31.05.2015;8631;
Firefox 37;Win7;31.05.2015;6117;
IE 11;Win7;31.05.2015;5596;
Firefox 38;Win7;31.05.2015;4158;
IE 11;Win8.1;31.05.2015;3220;
Chrome 42;Win7;31.05.2015;2651;
Chrome 30;Android;31.05.2015;2544;
Safari 7;iOS;31.05.2015;2227;
Firefox 37;Win8.1;31.05.2015;1717;
Chrome 0;Android;31.05.2015;1701;
IE 9;Win7;31.05.2015;1357;
IE 10;Win7;31.05.2015;1278;
Firefox 38;Win8.1;31.05.2015;1213;
Chrome 43;Win7;31.05.2015;1204;
Chrome 37;Android;31.05.2015;1126;
Safari 8;MacOSX;31.05.2015;1113;
Chrome 35;Android;31.05.2015;1100;
Firefox 37;WinXP;30.05.2015;1016;
Chrome 42;Win8.1;31.05.2015;975;
Chrome 4;Win7;29.05.2015;821;
Firefox 38;WinXP;31.05.2015;637;
Firefox 31;Win7;31.05.2015;526;
Chrome 34;Android;31.05.2015;485;
Safari 7;MacOSX;31.05.2015;465;
Chrome 43;Win8.1;31.05.2015;462;
Firefox 37;WinVista;30.05.2015;441;
Firefox Mobile 6;Android;31.05.2015;431;
IE 8;Win7;31.05.2015;428;
IEMobile 11;WinPhone;31.05.2015;408;
Chrome 36;Win7;31.05.2015;378;
Safari 5;MacOSX;31.05.2015;377;
IE 8;WinXP;31.05.2015;372;
Safari 6;MacOSX;31.05.2015;340;
Chrome 38;Android;31.05.2015;333;
IE 9;WinVista;31.05.2015;326;
Firefox 37;MacOSX;31.05.2015;317;
Chrome 4;Win8.1;31.05.2015;313;
Firefox 38;WinVista;31.05.2015;287;
Chrome 28;Android;31.05.2015;278;
IE 10;Win8;31.05.2015;278;
Safari 5;iOS;31.05.2015;271;
Chrome 40;Android;31.05.2015;269;
Safari 6;iOS;31.05.2015;263;
Opera 0;Win7;31.05.2015;262;
Chrome 42;WinXP;31.05.2015;233;
Firefox 36;Win7;31.05.2015;219;
Firefox 38;MacOSX;31.05.2015;179;
Chrome 42;MacOSX;27.05.2015;176;
Chrome 42;WinVista;31.05.2015;175;
Fennec 0;Android;31.05.2015;173;
Chrome 31;Android;31.05.2015;170;
IE 7;Win7;29.05.2015;163;
Firefox 35;Win7;31.05.2015;155;
Chrome 36;Android;31.05.2015;136;
Firefox 37;Linux;31.05.2015;131;
IEMobile 10;WinPhone;31.05.2015;117;
Firefox 37;Win8;30.05.2015;108;
Chrome 41;Android;31.05.2015;108;
Opera 0;Win8.1;31.05.2015;107;
Chrome 43;WinXP;31.05.2015;101;
Firefox 38;Linux;31.05.2015;97;
Chrome 43;WinVista;31.05.2015;92;
IE 8;Win2003;30.05.2015;88;
Chrome 32;Win8.1;28.05.2015;88;
Chrome 43;MacOSX;31.05.2015;85;
Chrome 28;Win7;31.05.2015;84;
Default Browser 0;Nicht ermittelbar;30.05.2015;83;
Firefox 33;Win7;30.05.2015;82;
Chrome 40;Win7;30.05.2015;82;
Chrome 18;Android;31.05.2015;78;
Firefox 38;Win8;31.05.2015;77;
Chrome 41;Win7;29.05.2015;76;
Chrome 42;Win8;25.05.2015;74;
Chrome 35;Win7;30.05.2015;72;
Default Browser 0;Linux;31.05.2015;69;
Firefox 34;Win7;31.05.2015;65;
BlackBerry 10;BlackBerry OS;31.05.2015;64;
Chrome 39;Android;31.05.2015;63;
Chrome 39;Win7;31.05.2015;62;
Chrome 4;MacOSX;06.05.2015;59;
Chrome 11;Linux;31.05.2015;58;
Chrome 4;WinXP;06.05.2015;58;
Chrome 32;Win7;31.05.2015;58;
Firefox Mobile 34;Android;31.05.2015;58;
Chrome 33;Android;31.05.2015;56;
Chrome 4;WinVista;15.05.2015;54;
Firefox 36;Linux;30.05.2015;54;
Opera 12;Win7;31.05.2015;52;
Chrome 42;Linux;31.05.2015;52;
Firefox 32;Win7;31.05.2015;51;
Firefox 24;Win7;29.05.2015;47;
Firefox 36;Win8.1;31.05.2015;45;
Firefox 31;WinXP;29.05.2015;41;
Firefox 36;WinXP;28.05.2015;41;
IE 11;Windows RT;31.05.2015;39;
Fennec 34;Android;31.05.2015;38;
Firefox 24;Linux;31.05.2015;38;
Chrome 33;Linux;31.05.2015;37;
Chrome 38;Win7;30.05.2015;36;
Default Browser 0;Win7;31.05.2015;35;
Firefox 26;Win7;28.05.2015;35;
IE 7;WinXP;29.05.2015;34;
Firefox 30;Win7;30.05.2015;32;
Firefox 29;Win7;31.05.2015;31;
Chrome 43;Win8;31.05.2015;29;
Firefox 28;Linux;21.05.2015;28;
Chrome 39;Win8.1;31.05.2015;28;
Chrome 41;Win8.1;29.05.2015;27;
Firefox 35;WinXP;30.05.2015;26;
Firefox 34;WinXP;31.05.2015;25;
Firefox 21;Win7;31.05.2015;23;
Firefox 31;Linux;31.05.2015;23;
IEMobile 9;WinPhone;30.05.2015;23;
Firefox 26;WinXP;31.05.2015;23;
Safari 4;iOS;30.05.2015;23;
Opera Mini 5;Android;29.05.2015;22;
Firefox 31;Win8.1;30.05.2015;22;
Firefox 36;WinVista;31.05.2015;21;
Firefox 27;Win7;28.05.2015;21;
Firefox 23;Win7;30.05.2015;21;
Firefox 33;WinXP;28.05.2015;21;
Firefox 24;WinXP;29.05.2015;21;
Opera 12;WinVista;31.05.2015;20;
Opera 0;WinXP;30.05.2015;20;
Chrome 41;Linux;28.05.2015;20;
Safari 4;MacOSX;31.05.2015;19;
Chrome 31;Win7;31.05.2015;19;
Firefox 35;Win8.1;28.05.2015;19;
Chrome 43;Linux;31.05.2015;18;
Firefox 28;Win7;28.05.2015;18;
Firefox 3;WinXP;31.05.2015;18;
Chrome 4;Win8;06.05.2015;18;
Firefox 36;MacOSX;27.05.2015;16;
Safari 0;iOS;24.05.2015;16;
Chrome 37;Win7;28.05.2015;16;
Chrome 32;Android;31.05.2015;15;
Firefox 34;Win8.1;31.05.2015;15;
Chrome 34;Win7;30.05.2015;15;
Firefox 35;Linux;31.05.2015;15;
Opera 12;WinXP;31.05.2015;14;
Firefox 12;Win7;31.05.2015;14;
Chrome 33;Win7;29.05.2015;14;
IE 8;WinVista;26.05.2015;13;
Safari 5;Win7;30.05.2015;13;
Opera 0;WinVista;29.05.2015;13;
Firefox 12;WinXP;31.05.2015;12;
Chrome 30;Win8.1;28.05.2015;12;
Firefox 13;WinXP;28.05.2015;12;
Chrome 30;Win7;29.05.2015;12;
Firefox 37;Win2003;28.05.2015;12;
Firefox 33;Win2003;29.05.2015;12;
Firefox 30;Linux;31.05.2015;11;
Chrome 40;WinVista;29.05.2015;11;
Firefox 34;Linux;30.05.2015;11;
Chrome 40;Win8.1;29.05.2015;10;
Firefox 32;WinXP;28.05.2015;10;
Firefox 31;MacOSX;31.05.2015;10;
Firefox 31;Win2003;19.05.2015;10;
Firefox 36;Win8;25.05.2015;10;
Chrome 34;WinXP;28.05.2015;10;
UCWeb 0;Android;24.05.2015;10;
Firefox 16;MacOSX;29.05.2015;10;
Firefox 13;Win7;28.05.2015;10;
Firefox 15;Win7;29.05.2015;10;
Firefox 25;Win7;29.05.2015;9;
Chrome 29;Win7;29.05.2015;9;
Firefox 35;MacOSX;28.05.2015;9;
Opera 12;Win8;31.05.2015;9;
Chrome 35;Win8.1;29.05.2015;9;
Firefox 17;Win7;28.05.2015;9;
Chrome 37;Linux;26.05.2015;8;
Firefox 32;Win8.1;27.05.2015;8;
Chrome 41;MacOSX;28.05.2015;8;
Fennec 23;Android;28.05.2015;8;
Firefox 35;WinVista;31.05.2015;8;
Firefox 33;Linux;30.05.2015;8;
Chrome 40;WinXP;28.05.2015;8;
CTS reformatting proxy 0;MacOSX;27.05.2015;8;
Opera Mobi 12;Android;22.05.2015;8;
Firefox 38;Win2003;29.05.2015;7;
Firefox 22;Win7;29.05.2015;7;
Firefox 32;WinVista;23.05.2015;7;
Firefox 29;MacOSX;25.05.2015;7;
Opera 0;Linux;27.05.2015;7;
Firefox 25;WinXP;26.05.2015;7;
Firefox 35;Win8;28.05.2015;7;
Chrome 22;Linux;31.05.2015;7;
Firefox 18;Win7;28.05.2015;7;
Firefox 10;Win7;31.05.2015;7;
IE 7;WinVista;31.05.2015;7;
Firefox 40;Win7;31.05.2015;7;
Firefox 37;WinNT;27.05.2015;7;
Firefox 31;WinVista;27.05.2015;7;
Firefox 12;Win2000;23.05.2015;7;
Firefox 9;Win7;26.05.2015;6;
Firefox 38;WinNT;29.05.2015;6;
Firefox 17;WinXP;28.05.2015;6;
Firefox 20;Win7;20.05.2015;6;
Fennec 33;Android;26.05.2015;6;
Default Browser 0;MacOSX;28.05.2015;6;
