"Browser";"Letzter Zugriff";"Besucher";
"Safari 8";"31.05.2015";"12917";
"Firefox 37";"31.05.2015";"9870";
"IE 11";"31.05.2015";"8857";
"Android 0";"31.05.2015";"8631";
"Firefox 38";"31.05.2015";"6661";
"Chrome 42";"31.05.2015";"4345";
"Safari 7";"31.05.2015";"2697";
"Chrome 30";"31.05.2015";"2574";
"Chrome 43";"31.05.2015";"1994";
"Chrome 0";"31.05.2015";"1702";
"IE 9";"31.05.2015";"1683";
"IE 10";"31.05.2015";"1556";
"Chrome 4";"31.05.2015";"1330";
"Chrome 35";"31.05.2015";"1187";
"Chrome 37";"31.05.2015";"1154";
"IE 8";"31.05.2015";"901";
"Safari 5";"31.05.2015";"672";
"Firefox 31";"31.05.2015";"643";
"Safari 6";"31.05.2015";"607";
"Chrome 36";"31.05.2015";"523";
"Chrome 34";"31.05.2015";"522";
"Firefox Mobile 6";"31.05.2015";"431";
"Opera 0";"31.05.2015";"417";
"Firefox 36";"31.05.2015";"409";
"IEMobile 11";"31.05.2015";"408";
"Chrome 40";"31.05.2015";"392";
"Chrome 38";"31.05.2015";"378";
"Chrome 28";"31.05.2015";"366";
"Chrome 41";"31.05.2015";"253";
"Firefox 35";"31.05.2015";"240";
"IE 7";"31.05.2015";"213";
"Default Browser 0";"31.05.2015";"197";
"Chrome 31";"31.05.2015";"191";
"Fennec 0";"31.05.2015";"173";
"Chrome 32";"31.05.2015";"164";
"Chrome 39";"31.05.2015";"160";
"Firefox 33";"30.05.2015";"141";
"Firefox 34";"31.05.2015";"124";
"IEMobile 10";"31.05.2015";"117";
"Firefox 24";"31.05.2015";"114";
"Chrome 33";"31.05.2015";"108";
"Opera 12";"31.05.2015";"100";
"Chrome 18";"31.05.2015";"84";
"Firefox 32";"31.05.2015";"82";
"BlackBerry 10";"31.05.2015";"64";
"Firefox 26";"31.05.2015";"64";
"Chrome 11";"31.05.2015";"59";
"Firefox Mobile 34";"31.05.2015";"58";
"Firefox 30";"31.05.2015";"55";
"Firefox 28";"30.05.2015";"54";
"Firefox 29";"31.05.2015";"50";
"Safari 4";"31.05.2015";"46";
"Fennec 34";"31.05.2015";"38";
"Firefox 12";"31.05.2015";"38";
"Firefox 3";"31.05.2015";"32";
"Firefox 21";"31.05.2015";"30";
"Firefox 17";"31.05.2015";"26";
"Firefox 23";"30.05.2015";"25";
"Firefox 25";"30.05.2015";"24";
"Firefox 13";"28.05.2015";"24";
"IEMobile 9";"30.05.2015";"23";
"Opera Mini 5";"29.05.2015";"23";
"Firefox 27";"28.05.2015";"22";
"Firefox 16";"29.05.2015";"21";
"Safari 0";"24.05.2015";"16";
"Firefox 10";"31.05.2015";"15";
"Firefox 15";"29.05.2015";"13";
"Firefox 22";"29.05.2015";"12";
"Firefox 14";"29.05.2015";"12";
"UCWeb 0";"24.05.2015";"11";
"Firefox 18";"28.05.2015";"11";
"Firefox 20";"20.05.2015";"10";
"Firefox 11";"27.05.2015";"10";
"Chrome 29";"29.05.2015";"10";
"SmartTV 0";"31.05.2015";"10";
"Firefox 4";"31.05.2015";"9";
"CTS reformatting proxy 0";"27.05.2015";"9";
"Opera Mobi 12";"22.05.2015";"8";
"Fennec 23";"28.05.2015";"8";
"Chrome 22";"31.05.2015";"8";
"Firefox 40";"31.05.2015";"8";
"Opera 28";"31.05.2015";"8";
"Firefox 9";"26.05.2015";"7";
"Firefox 19";"28.05.2015";"6";
"Chrome 26";"27.05.2015";"6";
"Chrome 23";"29.05.2015";"6";
"Fennec 33";"26.05.2015";"6";
"Firefox 8";"28.05.2015";"6";
"Android 30";"30.05.2015";"6";
"Chrome 20";"15.05.2015";"5";
"Chrome 9";"22.05.2015";"5";
"Firefox 0";"30.05.2015";"5";
"Safari 3";"28.05.2015";"5";
"Firefox 39";"31.05.2015";"5";
"Firefox 7";"26.05.2015";"4";
"Chromium 33";"28.05.2015";"4";
"Firefox Mobile 32";"31.05.2015";"4";
"Firefox 5";"26.05.2015";"4";
"Firefox Mobile 33";"31.05.2015";"4";
"Fennec 24";"21.05.2015";"4";
"Opera 27";"31.05.2015";"4";
"Opera 26";"22.05.2015";"4";
"Fennec 29";"23.05.2015";"3";
"Chrome 12";"24.05.2015";"3";
"Firefox Mobile 23";"20.05.2015";"3";
"Fennec 31";"31.05.2015";"3";
"Opera 24";"10.05.2015";"3";
"BlackBerry 7";"16.05.2015";"3";
"Opera Mini 4";"26.05.2015";"3";
"Opera Mini 1";"09.05.2015";"3";
"IE 6";"20.05.2015";"3";
"Opera 20";"25.05.2015";"3";
"Opera 25";"21.05.2015";"2";
"Opera 11";"09.05.2015";"2";
"Firefox 6";"21.05.2015";"2";
"IE 12";"24.05.2015";"2";
"Firefox Mobile 25";"27.05.2015";"2";
"Firefox Mobile 28";"24.05.2015";"2";
"Firefox Mobile 30";"12.05.2015";"2";
"Firefox Mobile 20";"18.05.2015";"2";
"Nokia 7";"15.05.2015";"2";
"Playstation 3 0";"22.05.2015";"2";
"UCWeb 10";"23.05.2015";"2";
"Novarra nWeb 8";"05.05.2015";"2";
"Opera Mini 7";"26.05.2015";"2";
"Opera 18";"16.05.2015";"2";
"WebKit/webOS 0";"26.05.2015";"2";
"Opera 10";"20.05.2015";"2";
"IEMobile 7";"05.05.2015";"1";
"Opera 22";"11.05.2015";"1";
"Firefox Mobile 31";"28.05.2015";"1";
"Chrome 5";"19.05.2015";"1";
"Chrome 21";"18.05.2015";"1";
"Firefox Mobile 15";"26.05.2015";"1";
"Chrome 3";"11.05.2015";"1";
"Firefox Mobile 26";"22.05.2015";"1";
"Fennec 21";"31.05.2015";"1";
"Firefox Mobile 24";"20.05.2015";"1";
"Fennec 22";"30.05.2015";"1";
"Chrome 10";"04.05.2015";"1";
"Fennec 27";"18.05.2015";"1";
"Fennec 32";"12.05.2015";"1";
"Firefox Mobile 19";"05.05.2015";"1";
"Chrome 25";"23.05.2015";"1";
"Chrome 19";"07.05.2015";"1";
"Playstation 4 0";"06.05.2015";"1";
"Konqueror 0";"19.05.2015";"1";
"Chrome 8";"12.05.2015";"1";
"WebKit/Android 0";"21.05.2015";"1";
"Chrome 16";"11.05.2015";"1";
"Opera 9";"24.05.2015";"1";
"Chrome 27";"04.05.2015";"1";
"Opera Mini 6";"24.05.2015";"1";
"Opera 23";"28.05.2015";"1";
"Opera 17";"20.05.2015";"1";
"Nokia 1";"03.05.2015";"1";
"Netfront NX 2";"31.05.2015";"1";
"Chromium 40";"29.05.2015";"1";
"Firefox 2";"01.05.2015";"1";
"Opera 19";"08.05.2015";"1";
"Chromium 0";"18.05.2015";"1";
"Opera 15";"07.05.2015";"1";
"Chromium 30";"10.05.2015";"1";
