"Browser";"Letzter Zugriff";"Besucher";
"Safari 8.0";"31.05.2015";"12917";
"Firefox 37.0";"31.05.2015";"9870";
"IE 11.0";"31.05.2015";"8857";
"Android 0.0";"31.05.2015";"8631";
"Firefox 38.0";"31.05.2015";"6661";
"Chrome 42.0";"31.05.2015";"4345";
"Chrome 30.0";"31.05.2015";"2574";
"Chrome 43.0";"31.05.2015";"1994";
"Safari 7.1";"31.05.2015";"1744";
"Chrome 0.0";"31.05.2015";"1702";
"IE 9.0";"31.05.2015";"1683";
"IE 10.0";"31.05.2015";"1556";
"Chrome 4.0";"31.05.2015";"1330";
"Chrome 35.0";"31.05.2015";"1187";
"Chrome 37.0";"31.05.2015";"1154";
"Safari 7.0";"31.05.2015";"948";
"IE 8.0";"31.05.2015";"901";
"Firefox 31.0";"31.05.2015";"643";
"Chrome 36.0";"31.05.2015";"523";
"Chrome 34.0";"31.05.2015";"522";
"Safari 5.0";"31.05.2015";"448";
"Firefox Mobile 6.0";"31.05.2015";"431";
"Safari 6.0";"31.05.2015";"421";
"Opera 0.0";"31.05.2015";"417";
"Firefox 36.0";"31.05.2015";"409";
"IEMobile 11.0";"31.05.2015";"408";
"Chrome 40.0";"31.05.2015";"392";
"Chrome 38.0";"31.05.2015";"378";
"Chrome 28.0";"31.05.2015";"366";
"Chrome 41.0";"31.05.2015";"253";
"Firefox 35.0";"31.05.2015";"240";
"Safari 5.1";"31.05.2015";"224";
"IE 7.0";"31.05.2015";"213";
"Default Browser 0.0";"31.05.2015";"197";
"Chrome 31.0";"31.05.2015";"191";
"Safari 6.1";"31.05.2015";"186";
"Fennec 0.0";"31.05.2015";"173";
"Chrome 32.0";"31.05.2015";"164";
"Chrome 39.0";"31.05.2015";"160";
"Firefox 33.0";"30.05.2015";"141";
"Firefox 34.0";"31.05.2015";"124";
"IEMobile 10.0";"31.05.2015";"117";
"Firefox 24.0";"31.05.2015";"114";
"Chrome 33.0";"31.05.2015";"108";
"Opera 12.0";"31.05.2015";"100";
"Chrome 18.0";"31.05.2015";"84";
"Firefox 32.0";"31.05.2015";"82";
"Firefox 26.0";"31.05.2015";"64";
"BlackBerry 10.2";"31.05.2015";"64";
"Chrome 11.0";"31.05.2015";"59";
"Firefox Mobile 34.0";"31.05.2015";"58";
"Firefox 30.0";"31.05.2015";"55";
"Firefox 28.0";"30.05.2015";"54";
"Firefox 29.0";"31.05.2015";"50";
"Firefox 12.0";"31.05.2015";"38";
"Fennec 34.0";"31.05.2015";"38";
"Firefox 21.0";"31.05.2015";"30";
"Firefox 3.0";"31.05.2015";"28";
"Firefox 17.0";"31.05.2015";"26";
"Firefox 23.0";"30.05.2015";"25";
"Firefox 13.0";"28.05.2015";"24";
"Firefox 25.0";"30.05.2015";"24";
"Safari 4.0";"31.05.2015";"23";
"Opera Mini 5.0";"29.05.2015";"23";
"IEMobile 9.0";"30.05.2015";"23";
"Firefox 27.0";"28.05.2015";"22";
