"Browser";"Betriebssystem";"Letzter Zugriff";"Besucher";
"Safari 8.0";"iOS";"31.05.2015";"11804";
"Android 0.0";"Android";"31.05.2015";"8631";
"Firefox 37.0";"Win7";"31.05.2015";"6117";
"IE 11.0";"Win7";"31.05.2015";"5596";
"Firefox 38.0";"Win7";"31.05.2015";"4158";
"IE 11.0";"Win8.1";"31.05.2015";"3220";
"Chrome 42.0";"Win7";"31.05.2015";"2651";
"Chrome 30.0";"Android";"31.05.2015";"2544";
"Safari 7.1";"iOS";"31.05.2015";"1744";
"Firefox 37.0";"Win8.1";"31.05.2015";"1717";
"Chrome 0.0";"Android";"31.05.2015";"1701";
"IE 9.0";"Win7";"31.05.2015";"1357";
"IE 10.0";"Win7";"31.05.2015";"1278";
"Firefox 38.0";"Win8.1";"31.05.2015";"1213";
"Chrome 43.0";"Win7";"31.05.2015";"1204";
"Chrome 37.0";"Android";"31.05.2015";"1126";
"Safari 8.0";"MacOSX";"31.05.2015";"1113";
"Chrome 35.0";"Android";"31.05.2015";"1100";
"Firefox 37.0";"WinXP";"30.05.2015";"1016";
"Chrome 42.0";"Win8.1";"31.05.2015";"975";
"Chrome 4.0";"Win7";"29.05.2015";"821";
"Firefox 38.0";"WinXP";"31.05.2015";"637";
"Firefox 31.0";"Win7";"31.05.2015";"526";
"Chrome 34.0";"Android";"31.05.2015";"485";
"Safari 7.0";"iOS";"31.05.2015";"483";
"Safari 7.0";"MacOSX";"31.05.2015";"465";
"Chrome 43.0";"Win8.1";"31.05.2015";"462";
"Firefox 37.0";"WinVista";"30.05.2015";"441";
"Firefox Mobile 6.0";"Android";"31.05.2015";"431";
"IE 8.0";"Win7";"31.05.2015";"428";
"IEMobile 11.0";"WinPhone";"31.05.2015";"408";
"Chrome 36.0";"Win7";"31.05.2015";"378";
"Safari 5.0";"MacOSX";"31.05.2015";"377";
"IE 8.0";"WinXP";"31.05.2015";"372";
"Safari 6.0";"MacOSX";"31.05.2015";"340";
"Chrome 38.0";"Android";"31.05.2015";"333";
"IE 9.0";"WinVista";"31.05.2015";"326";
"Firefox 37.0";"MacOSX";"31.05.2015";"317";
"Chrome 4.0";"Win8.1";"31.05.2015";"313";
"Firefox 38.0";"WinVista";"31.05.2015";"287";
"IE 10.0";"Win8";"31.05.2015";"278";
"Chrome 28.0";"Android";"31.05.2015";"278";
"Chrome 40.0";"Android";"31.05.2015";"269";
"Opera 0.0";"Win7";"31.05.2015";"262";
"Chrome 42.0";"WinXP";"31.05.2015";"233";
"Safari 5.1";"iOS";"31.05.2015";"224";
