"Seitenname";"Letzter Zugriff";"Besucher";
"Homepage";"31.05.2015";"13483";
"Tierheim Moers";"31.05.2015";"2336";
"42 Stadtbibliothek - Zentrale";"31.05.2015";"2206";
"Fachdienst 4.2.1 BürgerService Innenstadt";"31.05.2015";"2099";
"Trödelmärkte";"31.05.2015";"2084";
"Tierschutzverein Moers und Umgebung e.V.";"31.05.2015";"1549";
"Presse";"31.05.2015";"1224";
"Veranstaltungen nach Datum";"31.05.2015";"1196";
"Volkshochschule";"31.05.2015";"1182";
"Mythologie und Symbolik der Rose";"31.05.2015";"1127";
"Stellenangebote";"31.05.2015";"1046";
"Kraftfahrzeug-Zulassungsstelle des Kreises Wesel - Nebenstelle Moers";"31.05.2015";"843";
"Moerser Kirmes";"31.05.2015";"704";
"41 Grafschafter Museum im Schloss";"31.05.2015";"678";
"Webcams";"31.05.2015";"578";
"Grafschafter Musenhof im Schlosspark Moers";"31.05.2015";"576";
"Fehlerseite";"31.05.2015";"539";
"Telefonverzeichnis A - Z";"31.05.2015";"528";
"Stellenausschreibung: Sachbearbeiterin/Sachbearbeiter vhs";"31.05.2015";"457";
"Privatzimmer";"31.05.2015";"444";
"Stadt Moers - Adressen, Telefon, Fax";"31.05.2015";"441";
"Leinen los für Bello und Co.";"31.05.2015";"432";
"Bürgerservice und Politik";"31.05.2015";"422";
"Speiseplan der Kantine im Rathaus";"31.05.2015";"422";
"ENNI ENNI Stadt & Service Niederrhein";"31.05.2015";"420";
"44 Moerser Musikschule";"31.05.2015";"418";
"FD 4.3 Fachdienst 4.3 - Standesamt";"31.05.2015";"417";
"FB 10 Fachbereich 10 - Jugend und Soziales";"31.05.2015";"376";
"FAQ-Liste zum Streik in KiTas";"31.05.2015";"345";
"Veranstaltungen";"31.05.2015";"343";
"Moerser Stadtgespräche";"31.05.2015";"342";
"Tummelferien - was ist denn das?";"31.05.2015";"337";
"Index Seite";"31.05.2015";"328";
"Märkte";"31.05.2015";"325";
