"Domain";"Letzter Zugriff";"Besucher";
"www.moers.de";"31.05.2015";"66499";
"www.bibliothek-moers.de";"31.05.2015";"1531";
"forum.moers.de";"31.05.2015";"1347";
"www.google.de";"31.05.2015";"1069";
"www.offenedaten.moers.de";"31.05.2015";"892";
"stellenangebote.moers.de";"31.05.2015";"695";
"kirmes.moers.de";"31.05.2015";"665";
"museum.moers.de";"31.05.2015";"647";
"m.moers.de";"31.05.2015";"584";
"musenhof.moers.de";"31.05.2015";"360";
"musikschule.moers.de";"31.05.2015";"323";
"sessionnet.krz.de";"31.05.2015";"300";
"grafschafter-museum.de";"31.05.2015";"195";
"netappoint.de";"31.05.2015";"167";
"offenedaten.moers.de";"31.05.2015";"152";
"bibliothek-moers.de";"31.05.2015";"137";
"www.bing.com";"31.05.2015";"135";
"moersintern";"29.05.2015";"115";
"weihnachtsmarkt.moers.de";"31.05.2015";"112";
"www.zeiten.moers.de";"31.05.2015";"111";
"bibliothek.moers.de";"31.05.2015";"99";
"friedhoefe.moers.de";"31.05.2015";"88";
"blog.moers.de";"30.05.2015";"85";
"ausbildung.moers.de";"28.05.2015";"74";
"m09001";"29.05.2015";"70";
"servicebetriebe-moers.de";"31.05.2015";"69";
"spielen.moers.de";"31.05.2015";"66";
"ausschreibungen.moers.de";"31.05.2015";"59";
"immobilien.moers.de";"31.05.2015";"58";
"abwasser.moers.de";"31.05.2015";"55";
"geschichtsstationen-moers.de";"30.05.2015";"54";
"rathaus.moers.de";"31.05.2015";"42";
"konzerte.moers.de";"31.05.2015";"38";
"hackday.moers.de";"29.05.2015";"35";
"intranet.moers.de";"29.05.2015";"33";
"fahrrad.moers.de";"31.05.2015";"33";
"translate.googleusercontent.com";"29.05.2015";"25";
"nachhaltigkeitsbeirat-moers.de";"29.05.2015";"23";
"www.google.com";"31.05.2015";"21";
"m.facebook.com";"29.05.2015";"20";
"wirtschaft.moers.de";"31.05.2015";"17";
"www.zentralbibliothek-moers.de";"29.05.2015";"16";
"statistik.moers.de";"31.05.2015";"16";
"zentralbibliothek-moers.de";"26.05.2015";"16";
"www.ausbildung.moers.de";"31.05.2015";"14";
"www.intranet.moers.de";"28.05.2015";"13";
"www.abcd4.de";"17.05.2015";"12";
"www.geschichtsstationen-moers.de";"29.05.2015";"11";
"schloss.moers.de";"27.05.2015";"10";
"www.gender-konzept.de";"30.05.2015";"9";
"familienzentren.moers.de";"30.05.2015";"9";
"www.google.at";"30.05.2015";"8";
"impressum.moers.de";"26.05.2015";"7";
"m09001.moers.krzn.de";"29.05.2015";"5";
"www.stellenangebote.moers.de";"19.05.2015";"5";
"vep.moers.de";"29.05.2015";"5";
"www.kirmes.moers.de";"30.05.2015";"5";
"webcache.googleusercontent.com";"17.05.2015";"5";
"stek.moers.de";"16.05.2015";"5";
"www.fahrrad.moers.de";"22.05.2015";"5";
"www.vebidoo.de";"31.05.2015";"4";
"minet090b.krzn.de";"31.05.2015";"3";
"zeiten.moers.de";"29.05.2015";"3";
"www.google.nl";"19.05.2015";"3";
"www.ausschreibungen.moers.de";"25.05.2015";"3";
"www.familienzentren.moers.de";"21.05.2015";"3";
"blitzer.moers.de";"18.05.2015";"2";
"www.bibliothek.moers.de";"31.05.2015";"2";
"www.museum.moers.de";"20.05.2015";"2";
"www.servicebetriebe-moers.de";"08.05.2015";"2";
"moerser-schloss.de";"08.05.2015";"2";
"www.moers.de.";"13.05.2015";"2";
"www.musikschule.moers.de";"05.05.2015";"1";
"jhi.o00.in";"11.05.2015";"1";
"194.77.250.199";"30.05.2015";"1";
"www.statistik.moers.de";"08.05.2015";"1";
"www.google.ch";"21.05.2015";"1";
"www.google.hr";"05.05.2015";"1";
"www.google.se";"17.05.2015";"1";
"onlineservice.moers.de";"25.05.2015";"1";
"www.buergerbeteiligung.moers.de";"28.05.2015";"1";
"www.lokale-agenda-moers.de";"13.05.2015";"1";
"opendata.moers.de";"01.05.2015";"1";
"www.google.es";"27.05.2015";"1";
"mm.gmx.net";"17.05.2015";"1";
"www.wirtschaft.moers.de";"01.05.2015";"1";
"leihboerse.moers.de";"31.05.2015";"1";
"www.google.pl";"22.05.2015";"1";
"www.google.com.tr";"08.05.2015";"1";
"nearyoude.com";"05.05.2015";"1";
