"Seitenname";"Letzter Zugriff";"Besucher";"Bounce Rate";"Page Impressions";"Ansichtszeit pro Seite";
"Webcam-Popup";"31.05.2015";"422";"24.41%";"51453";"00:00:32";
"Homepage";"31.05.2015";"15458";"33.15%";"22356";"00:00:53";
"Suchergebnisse";"31.05.2015";"3335";"1.62%";"7153";"00:00:37";
"Bürgerservice und Politik";"31.05.2015";"3389";"2.39%";"5728";"00:00:28";
"Fachdienst 4.2.1 BürgerService Innenstadt";"31.05.2015";"3688";"31.70%";"5277";"00:00:49";
"Veranstaltungen nach Datum";"31.05.2015";"1990";"31.46%";"4233";"00:00:37";
"Bürgerinformationssystem";"31.05.2015";"742";"14.82%";"4129";"00:01:04";
"Index Seite";"31.05.2015";"1032";"19.77%";"3537";"00:00:42";
"Veranstaltungen";"31.05.2015";"2341";"4.36%";"3524";"00:00:29";
"Trödelmärkte";"31.05.2015";"2783";"55.70%";"3502";"00:00:35";
"42 Stadtbibliothek - Zentrale";"31.05.2015";"2632";"33.28%";"3478";"00:00:32";
"Bewerbung für den Trödelmarkt";"26.05.2015";"1032";"6.59%";"3108";"00:00:55";
"Tierheim Moers";"31.05.2015";"2480";"63.75%";"2986";"00:00:43";
"Stichwörter A - Z";"31.05.2015";"796";"2.14%";"2813";"00:00:18";
"Telefonverzeichnis A - Z";"31.05.2015";"1252";"21.41%";"2702";"00:01:01";
"Tourismus";"31.05.2015";"1631";"2.64%";"2642";"00:00:32";
"Volkshochschule";"31.05.2015";"1637";"18.02%";"2620";"00:00:52";
"Tierschutzverein Moers und Umgebung e.V.";"31.05.2015";"1975";"55.70%";"2505";"00:00:45";
"Leben in Moers";"31.05.2015";"1640";"1.59%";"2314";"00:00:34";
"Kultur";"31.05.2015";"1540";"1.17%";"2142";"00:00:32";
"Dankeseite Trödelmarkt";"26.05.2015";"798";"4.39%";"2135";"00:00:26";
"Stellenangebote";"31.05.2015";"1458";"46.57%";"2114";"00:00:29";
"Moerser Stadtgespräche";"31.05.2015";"1044";"12.93%";"1918";"00:00:28";
"Fachbereiche und Einrichtungen";"31.05.2015";"1292";"4.72%";"1902";"00:00:38";
"Online-Katalog und Leihfristverlängerung";"31.05.2015";"1430";"13.43%";"1822";"00:00:50";
"Presse";"31.05.2015";"1459";"78.96%";"1716";"00:00:18";
"41 Grafschafter Museum im Schloss";"31.05.2015";"1012";"30.43%";"1594";"00:00:58";
"Seminare";"31.05.2015";"334";"2.40%";"1577";"00:00:20";
"Fehlerseite";"31.05.2015";"1012";"20.26%";"1463";"00:00:21";
"Grafschafter Musenhof im Schlosspark Moers";"31.05.2015";"784";"27.55%";"1455";"00:00:55";
"vhs - Suche";"31.05.2015";"389";"1.80%";"1431";"00:00:20";
"Moerser Hotels";"31.05.2015";"361";"11.08%";"1416";"00:00:19";
"Privatzimmer";"31.05.2015";"636";"39.31%";"1406";"00:01:49";
"Bürgerforum";"31.05.2015";"948";"5.38%";"1326";"00:00:44";
"Kraftfahrzeug-Zulassungsstelle des Kreises Wesel - Nebenstelle Moers";"31.05.2015";"907";"62.62%";"1281";"00:00:51";
"Mythologie und Symbolik der Rose";"31.05.2015";"1141";"92.38%";"1230";"00:00:22";
